pred_precio_log,precio_pred,id
5.9651494,389.61,3110723
5.434317,229.14,3117453
5.314974,203.36,3118841
5.832959,341.37,3131114
5.5573306,259.13,3144104
4.0984693,60.25,3162501
5.511795,247.6,3163248
5.672553,290.78,3167271
5.2176795,184.51,3172803
5.290078,198.36,3174089
5.5985265,270.03,3184195
6.1525106,469.9,3187818
5.590408,267.84,3188342
5.832164,341.1,3189367
5.0334163,153.46,3189694
3.9442542,51.64,3202973
5.382087,217.48,3212167
5.179117,177.53,3218014
5.3479514,210.18,3218456
5.6929917,296.78,3219190
5.4921556,242.78,3221997
6.049769,424.02,3228260
5.691823,296.43,3236923
5.5611486,260.12,3242608
5.007267,149.5,3243398
5.195251,180.41,3244036
4.501118,90.12,3250179
5.662291,287.81,3257033
4.049412,57.36,3261417
5.6875825,295.18,3261538
5.799166,330.02,3281769
5.593879,268.78,3286722
5.273926,195.18,3290143
5.5640283,260.87,3292049
5.6951895,297.43,3296173
5.6804714,293.09,3314434
5.2059655,182.36,3318625
5.7362585,309.9,3328222
3.896911,49.25,3340178
5.366515,214.12,3340494
5.8958335,363.52,3346588
5.507423,246.52,3349453
5.0296035,152.87,3350180
5.6012983,270.78,3350190
5.160401,174.23,3358168
5.7324452,308.72,3367356
5.688736,295.52,3370188
4.480591,88.29,3374070
5.4260635,227.25,3374176
5.642013,282.03,3376510
5.4793053,239.68,3376885
5.3900647,219.22,3388218
5.491734,242.68,3389920
5.5418086,255.14,3393502
5.6024327,271.09,3393839
4.5211368,91.94,3400569
5.8165774,335.82,3404528
5.8498287,347.17,3419405
5.4519997,233.22,3427801
5.378591,216.72,3431564
5.705518,300.52,3454239
5.566413,261.49,3455823
5.580077,265.09,3474270
5.6441846,282.64,3475121
5.3988814,221.16,3480503
4.400223,81.47,3481102
6.6219773,751.43,3484819
5.710424,302.0,3491072
5.5436783,255.62,3491453
5.4950714,243.49,3495408
3.3219807,27.72,3496538
5.6832895,293.91,3496888
5.218084,184.58,3501634
5.3834357,217.77,3502018
5.440556,230.57,3505203
5.1094136,165.57,3507362
5.1142764,166.38,3508191
5.297639,199.86,3512999
5.70509,300.39,3525106
6.3486605,571.73,3528944
5.4575963,234.53,3536663
5.501855,245.15,3556913
5.38331,217.74,3561658
5.547053,256.48,3567044
4.435885,84.43,3586382
5.876122,356.42,3590912
5.693427,296.91,3604142
5.1934075,180.08,3636416
6.1596236,473.25,3645268
5.7831006,324.76,3652628
5.798615,329.84,3671014
4.915882,136.44,3684919
5.5796285,264.97,3716592
6.286658,537.35,3727916
5.4558396,234.12,3732820
5.3785486,216.71,3744235
5.578396,264.65,3744593
5.6634674,288.15,3753467
6.031875,416.5,3763933
5.3275323,205.93,3770072
5.1874704,179.02,3773767
5.3249054,205.39,3773985
5.258781,192.25,3778832
5.8447733,345.42,3796102
5.769846,320.49,3797102
5.7765183,322.63,3797696
5.8729954,355.31,3797831
5.6118097,273.64,3797915
5.8770833,356.77,3825239
5.0053525,149.21,3855119
5.6829524,293.82,3855575
5.378372,216.67,3864869
4.7746673,118.47,3871145
3.4457326,31.37,3879178
3.4692314,32.11,3879659
5.5928574,268.5,3886855
5.6219783,276.44,3921708
5.376133,216.18,3942375
5.3141584,203.19,3955338
5.9504957,383.94,3966264
5.2087708,182.87,3971574
5.44851,232.41,3996089
5.4124484,224.18,4004925
6.0704575,432.88,4009675
5.989588,399.25,4018686
6.3433604,568.7,4019119
5.717513,304.15,4021304
5.7064295,300.8,4021526
5.323535,205.11,4022947
5.78811,326.4,4026267
5.736575,310.0,4026343
5.6055026,271.92,4028518
5.409073,223.42,4029838
5.3614993,213.04,4035189
5.185159,178.6,4047378
5.848018,346.55,4051453
5.843146,344.86,4068098
5.8997803,364.96,4079030
5.096583,163.46,4080861
5.3433332,209.21,4090521
5.90804,367.98,4114081
5.160362,174.23,4116665
5.3233314,205.07,4117009
5.609871,273.11,4123242
5.150049,172.44,4139672
5.684567,294.29,4141367
5.314441,203.25,4147676
5.487926,241.76,4156094
7.4924603,1794.46,4200509
5.485587,241.19,4207444
5.47997,239.84,4207829
5.252712,191.08,4208435
5.120369,167.4,4216358
5.794852,328.6,4228483
5.3728347,215.47,4238751
5.618575,275.5,4238825
5.4049945,222.51,4274290
5.214507,183.92,4274545
5.8575478,349.87,4278322
5.131989,169.35,4282501
5.6869364,294.99,4301676
5.6281505,278.15,4310497
5.574625,263.65,4310503
5.73955,310.92,4344155
5.638813,281.13,4344263
5.846857,346.14,4344324
5.629155,278.43,4344370
5.613911,274.21,4344409
5.8888583,360.99,4344485
5.915788,370.85,4346136
5.9524755,384.7,4349376
5.8187275,336.54,4349572
5.381168,217.28,4376055
5.3484855,210.29,4382379
5.1161394,166.69,4383632
